Medio;Dirección;Especialidad;Tipo de medio;Ciudad;Provincia;matched_especialidad;measure value
Total News Agency ;Talcahuano 426 5° F - (1013) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Agencia;;Capital Federal;Interés general;0
Única ;Magallanes 1407 - (1288) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Revista;;Capital Federal;Interés general;0
Universia;*;Educación;Digital;;Capital Federal;Educación;0
Uno ;Perú y cortada Chile - (3100) Paraná - Entre Rios, Argentina ;Interés general;Periódico;Paraná;Entre Ríos;Interés general;0
Uno (Digital);Perú y cortada Chile - (3100) Paraná - Entre Rios, Argentina ;Interés general;Digital;Paraná;Entre Ríos;Interés general;0
El Sol;La Rioja 987 - (5500) Mendoza - Mendoza, Argentina;Interés general;Periódico;Mendoza;Mendoza;Interés general;0
Uno Santa Fe ;San Jerónimo 2757 - (3000) Santa Fe - Santa Fe, Argentina ;Interés general;Periódico;Santa Fe;Santa Fe;Interés general;0
Uno Santa Fe (Digital);San Jerónimo 2757 - (3000) Santa Fe - Santa Fe, Argentina ;Interés general;Periódico;Santa Fe;Santa Fe;Interés general;0
Urgente 24;*;Interés general;Digital;;Capital Federal;Interés general;0
Vanidades;Azopardo 565 - (1107) Ciudad Autónoma de Buenos Aires, Argentina;Mujer;Revista;;Capital Federal;Mujer;0
Verde Country;*;Countries;Digital;Pilar;Buenos Aires;Countries;0
WebPilar.com;Rivadavia 475 - (1629) Pilar - Bueno Aires, Argentina;Interés general;Digital;Pilar;Buenos Aires;Interés general;0
Zona Norte Diario;*;Interés general;Digital;*;Buenos Aires;Interés general;0
Infancia hoy;Chacabuco 78, 2º Piso, Of.21 - (1069) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Periódico;;Capital Federal;Interés general;0
Infancia hoy (Digital);Chacabuco 78, 2º Piso, Of.21 - (1069) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Digital;;Capital Federal;Interés general;0
Cuyo Noticias;*;Interés general;Digital;Mendoza;Mendoza;Interés general;0
La Hora de Jujuy;Av. Ejercito del Norte Nº 719/21, Bº Mariano Moreno - San Salvador de Jujuy - Jujuy, Argentina;Interés general;Digital;San Salvador de Jujuy;Jujuy;Interés general;0
Primera Edición;Córdoba 1738 - (3300) Posadas - Misiones, Argentina;Interés general;Periódico;Posadas;Misiones;Interés general;0
OtroDía.com (Santa Fe);*;Interés general;Digital;*;Santa Fe;Interés general;0
Diario Buenos Aires;Libertad 451, 1º Piso, Of. N - (1012) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Peródico;;Capital Federal;Interés general;0
Diario Judicial;*;Judiciales;Digital;;Capital Federal;Judicial;2
El 1;*;Interés general;Periódico;San Justo;Buenos Aires;Interés general;0
El 1 (Digital);*;Interés general;Digital;San Justo;Buenos Aires;Interés general;0
Noticias con Objetividad;M Marcon 2584 - (1754) San Justo - Buenos Aires, Argentina;Interés general;Periódico;San Justo;Buenos Aires;Interés general;0
Miradas al Sur;Soler 6026 - (1425) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Periódico;;Capital Federal;Interés general;0
MendozaOpina.com;*;Interés general;Digital;Mendoza;Mendoza;Interés general;0
Infoplusdigital;*;Interés general;Digital;La Plata;Buenos Aires;Interés general;0
NeoMundo;*;Ciencia / Salud;Digital;;Capital Federal;Ciencia/Salud;2
Ediciones Médicas;*;Ciencia / Salud;Digital;*;*;Ciencia/Salud;2
Mejor Salud;Av. Nazca 3449 - (1417) - Ciudad Autónoma de Buenos Aires, Argentina ;Ciencia / Salud;Digital;;Capital Federal;Ciencia/Salud;2
El Profeta;*;Interés general;Digital;*;*;Interés general;0
puntodereferencia.com;*;Interés general;Digital;Corrientes;Corrientes;Interés general;0
Ciudad 1;*;Interés general;Digital;;Capital Federal;Interés general;0
FM 100.9 - Brava;*;Interés general;Radio;General Güemes;Salta;Interés general;0
La Web de Paraná;*;Interés general;Digital;Paraná;Entre Ríos;Interés general;0
Nueva Rioja;9 de Julio 86 - (5300) La Rioja - La Rioja, Argentina;Interés general;Periódico;La Rioja;La Rioja;Interés general;0
Mapuchito.com;*;Interés general;Digital;*;Río Negro;Interés general;0
Canal 3 Antaxus - Patagonia Argentina;Hipólito Yrigoyen 583 - (9100) Trelew - Chubut, Argentina;Interés general;Televisión;Trelew;Chubut;Interés general;0
FM Tiempo;Hipólito Yrigoyen 583 - (9100) Trelew - Chubut, Argentina;Interés general;Radio;Trelew;Chubut;Interés general;0
El Censor del Oeste Bonaerense;Juan Manuel de Rosas 3532, 2º Piso, Of. 18 - (1754) San Justo - Buenos Aires, Argentina;Interés general;Periódico;San Justo;Buenos Aires;Interés general;0
DiarioBrown.com;*;Interés general;Digital;Almirante Brown;Buenos Aires;Interés general;0
FM 88.9 - Radio El Debate;*;Interés general;Radio;Zárate;Buenos Aires;Interés general;0
Mercosurnoticias.com;*;Interés general;Digital;*;*;Interés general;0
Al Sur Informa.com;*;Interés general;Digital;*;*;Interés general;0
Baradero te informa;*;Interés general;Digital;Baradero;Buenos Aires;Interés general;0
