"Nombre","Descripcion","Descripcion","Buenos Aires/Cantidad"
"Merlo","Religión","Radio","1.0"
"Miramar","*","Radio","2.0"
"Miramar","Interés general","Digital","2.0"
"Miramar","Interés general","Periódico","4.0"
"Miramar","Interés general","Radio","8.0"
"Miramar","Música","Radio","1.0"
"Monte Grande","*","Radio","1.0"
"Monte Grande","Interés general","Radio","5.0"
"Monte Grande","Interés general","Televisión","1.0"
"Monte Grande","Música","Radio","1.0"
"Monte Grande","Religión","Radio","1.0"
"Monte Grande, E. Echeverría","*","Radio","1.0"
"Monte Grande, E. Echeverría","Interés general","Radio","2.0"
"Monte Hermoso","Interés general","Digital","1.0"
"Monte Hermoso","Interés general","Periódico","1.0"
"Monte Hermoso","Interés general","Radio","8.0"
"Monte Hermoso","Interés general","Televisión","1.0"
"Moreno","Interés general","Digital","1.0"
"Moreno","Interés general","Periódico","5.0"
"Moreno","Interés general","Radio","4.0"
"Moreno","Interés general","Televisión","2.0"
"Moreno","Música","Radio","1.0"
"Morón","*","Radio","1.0"
"Morón","Folclore","Radio","1.0"
"Morón","Interés general","Digital","5.0"
"Morón","Interés general","Periódico","6.0"
"Morón","Interés general","Radio","5.0"
"Morón","Música","Radio","1.0"
"Morón","Religión","Radio","1.0"
"Munro","Interés general","Radio","1.0"
"Munro","Religión","Radio","1.0"
"Munro, Vicente Lopez","Interés general","Radio","1.0"
"Navarro","Interés general","Digital","2.0"
"Navarro","Interés general","Periódico","2.0"
"Navarro","Interés general","Radio","3.0"
"N. de la Riestra","Interés general","Digital","1.0"
"N. de la Riestra","Interés general","Radio","2.0"
"Necochea","*","Revista","1.0"
"Necochea","Interés general","Digital","11.0"
"Necochea","Interés general","Periódico","1.0"
"Necochea","Interés general","Radio","25.0"
"Necochea","Interés general","Televisión","1.0"
"Necochea","Música","Radio","2.0"
"Norberto de la Riestra","Interés general","Televisión","1.0"
"O´Brien","Interés general","Digital","1.0"
"Olavarría","*","Radio","1.0"
"Olavarría","Comunicación","Revista","1.0"
"Olavarría","Interés general","Digital","5.0"
"Olavarría","Interés general","Periódico","2.0"
"Olavarría","Interés general","Radio","9.0"
"Olavarría","Interés general","Televisión","1.0"
"Olavarría","Música","Radio","1.0"
"Olivos","*","Radio","2.0"
"Olivos","Empleos","Revista","1.0"
"Olivos","Mujer","Revista","1.0"
"Orense","Interés general","Radio","1.0"
"Pablo Nogués","*","Radio","1.0"
"Pablo Podestá","Interés general","Radio","2.0"
"Paso del Rey","Interés general","Radio","2.0"
"Pedro Luro","Interés general","Radio","2.0"
"Pehuajó","*","Radio","1.0"
"Pehuajó","Interés general","Digital","2.0"
"Pehuajó","Interés general","Periódico","1.0"
"Pehuajó","Interés general","Radio","8.0"
"Pehuajó","Interés general","Televisión","1.0"
"Pehuajó","Música","Radio","1.0"
"Pellegrini","Interés general","Radio","2.0"
"Pergamino","Agropecuario","Digital","1.0"
"Pergamino","Agropecuario","Periódico","1.0"
"Pergamino","Deportes","Digital","1.0"
"Pergamino","Interés general","Digital","7.0"
"Pergamino","Interés general","Periódico","3.0"
"Pergamino","Interés general","Radio","15.0"
"Pergamino","Interés general","Televisión","1.0"
"Pergamino","Música","Radio","2.0"
"Pigüé","Interés general","Digital","3.0"
"Pigüé","Interés general","Periódico","2.0"
"Pigüé","Interés general","Radio","5.0"
"Pigüé","Interés general","Televisión","1.0"
"Pilar","Countries","Digital","1.0"
"Pilar","Interés general","Digital","14.0"
"Pilar","Interés general","Periódico","11.0"
"Pilar","Interés general","Radio","7.0"
"Pilar","Interés general","Revista","4.0"
"Pilar","Interés general","Televisión","1.0"
"Pilar","Mujer","Digital","1.0"
"Pilar","Mujer","Radio","1.0"
"Pinamar","*","Digital","1.0"
"Pinamar","*","Periódico","1.0"
"Pinamar","Interés general","Periódico","2.0"
"Pinamar","Interés general","Radio","18.0"
"Pinamar","Música","Radio","1.0"
